accession	strain
MH557138	105RS/NHP
MH557139	106RS/NHP
MH557140	107TS/NHP
MH557141	108TS/NHP
MH557142	109RS/NHP
MH557143	113TS/NHP
MH557144	115TS/NHP
MH557145	119TS/NHP
MH557146	120TS/NHP
MH557147	124TS/NHP
MH557148	125TS/NHP
MH557149	128TS/NHP
MH557150	129TS/NHP
MH557151	130TS/NHP
MH557152	132RS/NHP
MH557153	138TS/NHP
MH557154	139RS/NHP
MH557155	140TS/NHP
MH557156	142TS/NHP
MH557157	144TS/NHP
MH557158	145RS/NHP
MH557159	151TS/NHP
MH557160	152TS/NHP
MH557161	157TS/NHP
MH557162	164TS/NHP
MH557163	167TS/NHP
MH557164	174TS/NHP
MH557165	175TS/NHP
MH557166	176TS/NHP
MH557167	197TS/NHP
MH557168	198TS/NHP
MH557169	226RS/NHP
MH557170	231TS/NHP
MH557171	234TS/NHP
MH557172	288TS/NHP
MH557173	292TS/NHP
MH557174	293TS/NHP
MH557175	311TS/NHP
MH557176	314TS/NHP
MH557177	337TS/NHP
MH557178	339TS/NHP
MH557179	372TS/NHP
MH557180	373TS/NHP
MH557181	379TS/NHP
MH557182	388TS/NHP
MH557183	391TS/NHP
MH557184	399TS/NHP
MH557185	400TS/NHP
MH557186	401RS/NHP
MH557187	407TS/NHP
MH557188	414TS/NHP
MH557189	415TS/NHP
MH557190	417TS/NHP
MH557191	427TS/NHP
MH557192	435TS/NHP
MH557193	436TS/NHP
MH557194	442TS/NHP
MH557195	446RS/NHP
MH557196	447TS/NHP
MH557197	449TS/NHP
MH557198	450TS/NHP
MH557199	453TS/NHP
MH557200	455TS/NHP
MH557201	456TS/NHP
MH557202	459RS/NHP
MH557203	462RS/NHP
MH557204	467RS/NHP
MH557205	474TS/NHP
MH557206	475RS/NHP
MH557207	476TS/NHP
MH557208	478RS/NHP
MH557209	EVH004RS/NHP
MH557210	EVH006RS/NHP
MH557211	EVH010RS/NHP
MH557212	EVH011RS/NHP
MH557213	EVH015RS/NHP
MH557214	EVH020RS/NHP
MH605008	EVA71/SDJN278/CHN/2017
MH605009	EVA71/SDJN268/CHN/2017
MH605010	EVA71/SDJN241/CHN/2017
MH605011	EVA71/SDJN231/CHN/2017
MH605012	EVA71/SDJN230/CHN/2017
MH605013	EVA71/SDJN203/CHN/2017
MH605014	EVA71/SDJN187/CHN/2017
MH605015	EVA71/SDJN090/CHN/2017
MH605016	EVA71/SDJN047/CHN/2017
MH605017	EVA71/SDJN035/CHN/2017
MH605018	EVA71/SDJN409/CHN/2017
MH605019	EVA71/SDJN370/CHN/2017
MH644594	EV71-3/SZLG/2017
MH644595	EV71-4/SZLG/2017
MH644596	EV71-6/SZLG/2017
MH644597	EV71-7/SZLG/2017
MH644598	EV71-8/SZLG/2017
MH644599	EV71-9/SZLG/2017
MH644600	EV71-10/SZLG/2017
MH644601	EV71-11/SZLG/2017
MH644602	EV71-12/SZLG/2017
MH644603	EV71-13/SZLG/2017
MH644604	EV71-14/SZLG/2017
MH644605	EV71-16/SZLG/2017
MH644606	EV71-19/SZLG/2017
MH644607	EV71-21/SZLG/2017
MH644608	EV71-22/SZLG/2017
MH644609	EV71-23/SZLG/2017
MH644610	EV71-24/SZLG/2017
MH644611	EV71-25/SZLG/2017
MH644612	EV71-26/SZLG/2017
MH716145	EV71/sHFMD01/Shenzhen/2014
MH716146	EV71/sHFMD02/Shenzhen/2014
MH716147	EV71/sHFMD13/Shenzhen/2014
MH716148	EV71/sHFMD24/Shenzhen/2014
MH716149	EV71/sHFMD04/Shenzhen/2015
MH716150	EV71/sHFMD12/Shenzhen/2015
MH716151	EV71/sHFMD36/Shenzhen/2015
MH716152	EV71/sHFMD01/Shenzhen/2016
MH716153	EV71/sHFMD02/Shenzhen/2016
MH716154	EV71/sHFMD04/Shenzhen/2016
MH716155	EV71/sHFMD08/Shenzhen/2016
MH716156	EV71/sHFMD01/Shenzhen/2017
MH716157	EV71/sHFMD04/Shenzhen/2017
MH716158	EV71/sHFMD07/Shenzhen/2017
MH716159	EV71/sHFMD08/Shenzhen/2017
MH716160	EV71/sHFMD09/Shenzhen/2017
MH716161	EV71/sHFMD10/Shenzhen/2017
MH716248	C4-1
MH716249	C4-2
MH716250	C4-3
MH716251	C4-4
MH716252	C4-5
MH716253	C4-6
MH716254	C4-7
MH716255	C4-8
MH716256	C4-9
MH716257	C4-10
MH716258	B5-1
MH716259	B5-2
MH716260	B5-3
MH716261	B5-4
MH716262	B5-5
MH716263	B5-6
MH716264	B5-7
MH716265	B5-8
MH716266	B5-9
MH716267	B5-10
MH716268	B5-11
MH716269	B5-12
MH716270	B5-13
MH716271	B5-14
MH716272	B5-15
MH716273	B5-16
MH716274	B5-17
MH716275	B5-18
MH716276	B5-19
MH716277	B5-20
MH716278	B5-21
MH716279	B5-22
MH716280	B5-23
MH716281	B5-24
MH716282	B5-25
MH716283	B5-26
MH716284	B5-27
MH716285	B5-28
MH716286	B5-29
MH716287	B5-30
MH716288	B5-31
MH716289	B5-32
MH716290	B5-33
MH716291	B5-34
MH716292	B5-35
MH716293	B5-36
MH716294	B5-37
MH716295	B5-38
MH716296	B5-39
MH716297	B5-40
MH716298	B5-41
MH716299	B5-42
MH716300	B5-43
MH716301	B5-44
MH716302	B5-45
MH716303	B5-46
MH716304	B5-47
MH716305	B5-48
MH716306	B5-49
MH716307	B5-50
MH716308	B5-51
MH716309	B5-52
MH716310	B5-53
MH716311	B5-54
MH716312	B5-55
MH716313	B5-56
MH716314	B5-57
MH716315	B5-58
MH716316	B5-59
MH716317	B5-60
MH716318	B5-61
MH716319	B5-62
MH716320	B5-63
MH716321	B5-64
MH716322	B5-65
MH716323	B5-66
MH716324	B5-67
MH716325	B5-68
MH716326	B5-69
MH716327	B5-70
MH716328	B5-71
MH716329	B5-72
MH716330	B5-73
MH716331	B5-74
MH716332	B5-75
MH716333	B5-76
MH716334	B5-77
MH716335	B5-78
MH716336	B5-79
MH716337	B5-80
MH716338	B5-81
MH716339	B5-82
MH716340	B5-83
MH716341	B5-84
MH716342	B5-85
MH716343	B5-86
MH716344	B5-87
MH716345	B5-88
MH716346	B5-89
MH716347	B5-90
MH716348	B5-91
MH716349	B5-92
MH716350	B5-93
MH716351	B5-94
MH716352	B5-95
MH716353	B5-96
MH716354	B5-97
MH716355	B5-98
MH716356	B5-99
MH716357	B5-100
MH716358	B5-101
MH716359	B5-102
MH716360	B5-103
MH716361	B5-104
MH716362	B5-105
MH716363	B5-106
MH716364	B5-107
MH716365	B5-108
MH716366	B5-109
MH716367	B5-110
MH716368	B5-111
MH716369	B5-112
MH716370	B5-113
MH716371	B5-114
MH716372	B5-115
MH716373	B5-116
MH716374	B5-117
MH716375	B5-118
MH716376	B5-119
MH716377	B5-120
MH716378	B5-121
MH716379	B5-122
MH716380	B5-123
MH716381	B5-124
MH716382	B5-125
MH716383	B5-126
MH716384	B5-127
MH716385	B5-128
MH716386	B5-129
MH716387	B5-130
MH716388	B5-131
MH716389	B5-132
MH716390	B5-133
MH716391	B5-134
MH716392	B5-135
MH716393	B5-136
MH718269	USA/CO/2018-23026
MH879029	EV71/TH/MU-1/2015
MK028135	RA330/YN/CHN/2009
MK086265	CF314361017_FRA14-12-27_EV-A71
MK086347	EV-A71_WWTP_OTU_1005
MK086348	EV-A71_WWTP_OTU_1189
MK086349	EV-A71_WWTP_OTU_1428
MK086350	EV-A71_WWTP_OTU_1477
MK086351	EV-A71_WWTP_OTU_3217
MK111389	02_518
MK111390	02_672
MK111391	05_404
MK111392	08_705
MK111393	09_036
MK111394	09_040
MK111395	11_707
MK111396	12_436
MK111397	12_475
MK111398	15_470
MK111399	15_478
MK111400	16_740
MK111401	16_776
MK111402	16_795
MK111403	16_894
MK111404	16_911
MK111405	17_916
MK307344	FY23
MK307345	FY573
MK307346	S102B
MK307347	S1562a
MK307348	S1652a
MK307349	S66a
MK307350	S104a
MK307351	S265B
MK307352	S319a
MK307353	S554a
MK307354	S625a
MK307355	S711a
MK307356	S765a
MK307357	S993a
MK307358	S1226a
MK307359	S1274a
MK307360	S1420B
MK307361	S1450a
MK307362	S1460B
MK307363	S1483B
MK307364	S1507B
MK307365	S1517B
MK307366	S1597B
MK307367	S2544B
MK307368	S1283B
MK307369	S1175B
MK307370	S937B
MK307371	S692B
MK307372	S533B
MK307373	S468B
MK307374	S452B
MK307375	S1675B
MK307376	S1717B
MK307377	S1777B
MK307378	S1994a
MK307379	S2029b
MK307380	S2030b
MK307381	S2180b
MK307382	S2261b
MK307383	S3071a
MK307384	S3061a
MK307385	S3005B
MK307386	S3074b
MK307387	S2887a
MK307388	S2741a
MK307389	S2941a
MK307390	S2876a
MK307391	S2834a
MK307392	S2863a
MK307393	S2872a
MK307394	S2657a
MK307395	S2408a
MK307396	S2284a
MK307397	S2286a
MK307398	S2281a
MK307399	S2691a
MK307400	S2578a
MK307401	S2525a
MK307402	S2440a
MK307403	S2301a
MK307404	S2952b
MK307405	S2898a
MK307406	S2860B
MK307407	S2819B
MK307408	S2735B
MK307409	S2715B
MK307410	S2423B
MK307411	S3044B
MK307412	S2256a
MK307413	S2468a
MK307414	S2774a
MK307415	S2258b
MK307416	S2661a
MK307417	S3050b
MK307418	S1572a
MK307419	S1776b
MK307420	S726b
MK307421	S1842a
MK307422	S2186a
MK307423	S2222b
MK307424	S2383a
MK307425	S2392b
MK307426	S2604b
MK307427	S1883a
MK307428	S2010a
MK307429	S2016b
MK307430	S2486b
MK307431	S2683b
MK307432	S2752b
MK307433	S2927b
MK307434	S2991b
MK307435	S3013b
MK307436	S705B
MK307437	S2934a
MK307438	S1705a
MK307439	S1693b
MK307505	S0254a
MK321960	Zhenjiang-EV6-2011
MK321961	Zhenjiang-EV_15-2013
MK321962	Zhenjiang-EV_20-2013
MK321963	Zhenjiang-EV_22-2013
MK321964	Zhenjiang-EV_25-2011
MK321965	Zhenjiang-EV_28-2011
MK321966	Zhenjiang-EV_35-2011
MK321967	Zhenjiang-EV_37-2011
MK321968	Zhenjiang-EV_41-2011
MK321969	Zhenjiang-EV_42-2011
MK321970	Zhenjiang-EV_43-2011
MK321971	Zhenjiang-EV_45-2011
MK321972	Zhenjiang-EV_47-2011
MK321973	Zhenjiang-EV_48-2014
MK321974	Zhenjiang-EV_50-2011
MK321975	Zhenjiang-EV_51-2011
MK321976	Zhenjiang-EV_52-2011
MK321977	Zhenjiang-EV_54-2011
MK321978	Zhenjiang-EV_56-2011
MK321979	Zhenjiang-EV_57-2014
MK321980	Zhenjiang-EV_58-2014
MK321981	Zhenjiang-EV_59-2011
MK321982	Zhenjiang-EV_60-2011
MK321983	Zhenjiang-EV_62-2011
MK321984	Zhenjiang-EV_63-2011
MK321985	Zhenjiang-EV_64-2011
MK321986	Zhenjiang-EV_65-2011
MK321987	Zhenjiang-EV_66-2011
MK321988	Zhenjiang-EV_67-2011
MK321989	Zhenjiang-EV_68-2014
MK321990	Zhenjiang-EV_70-2014
MK321991	Zhenjiang-EV_73-2014
MK321992	Zhenjiang-EV_83-2014
MK321993	Zhenjiang-EV_84-2014
MK321994	Zhenjiang-EV_86-2014
MK321995	Zhenjiang-EV_103-2014
MK321996	Zhenjiang-EV_106-2014
MK321997	Zhenjiang-EV_109-2014
MK321998	Zhenjiang-EV_113-2013
MK321999	Zhenjiang-EV_114-2013
MK322000	Zhenjiang-EV_116-2013
MK322001	Zhenjiang-EV_117-2013
MK322002	Zhenjiang-EV_118-2013
MK322003	Zhenjiang-EV_119-2013
MK322004	Zhenjiang-EV_120-2015
MK322005	Zhenjiang-EV_121-2015
MK322006	Zhenjiang-EV_122-2015
MK322007	Zhenjiang-EV_123-2014
MK322008	Zhenjiang-EV_124-2014
MK322009	Zhenjiang-EV_125-2014
MK322010	Zhenjiang-EV_126-2014
MK322011	Zhenjiang-EV_130-2014
MK322012	Zhenjiang-EV_132-2014
MK322013	Zhenjiang-EV_134-2014
MK322014	Zhenjiang-EV_135-2014
MK322015	Zhenjiang-EV_137-2014
MK322016	Zhenjiang-EV_138-2014
MK322017	Zhenjiang-EV_140-2014
MK322018	Zhenjiang-EV_141-2014
MK322019	Zhenjiang-EV_142-2014
MK322020	Zhenjiang-EV_144-2014
MK322021	Zhenjiang-EV_145-2014
MK322022	Zhenjiang-EV_147-2015
MK322023	Zhenjiang-EV_148-2015
MK322024	Zhenjiang-EV_149-2014
MK322025	Zhenjiang-EV_150-2014
MK322026	Zhenjiang-EV_151-2014
MK322027	Zhenjiang-EV_152-2014
MK322028	Zhenjiang-EV4-2013
MK322029	Zhenjiang-EV158-2014
MK322030	Zhenjiang-EV159-2014
MK322031	Zhenjiang-EV161-2014
MK322032	Zhenjiang-EVU154-2013
MK322033	Zhenjiang-EV163-2013
MK322034	Zhenjiang-EV165-2013
MK322035	Zhenjiang-EV168-2013
MK322036	Zhenjiang-EV170-2013
MK322037	Zhenjiang-EVU73-2014
MK322038	Zhenjiang-EVU31-2011
MK322039	Zhenjiang-EVU75-2014
MK322040	Zhenjiang-EVU56-2014
MK322041	Zhenjiang-EVU98-2015
MK322042	Zhenjiang-EVU84-2015
MK322043	Zhenjiang-EVU122-2014
MK322044	Zhenjiang-EVU179-2013
MK322045	Zhenjiang-EVU77-2014
MK322046	Zhenjiang-EVU108-2015
MK344771	J098-EV-A71-WS-YN-2014
MK357103	EVA71/JN101/CHN/2018
MK357104	EVA71/JN035/CHN/2018
MK357105	EVA71/JN023/CHN/2018
MK357106	EVA71/JN436/CHN/2018
MK357107	EVA71/JN426/CHN/2018
MK357108	EVA71/JN401/CHN/2018
MK357109	EVA71/JN399/CHN/2018
MK357110	EVA71/JN313/CHN/2018
MK357111	EVA71/JN249/CHN/2018
MK357112	EVA71/JN204/CHN/2018
MK357113	EVA71/JN167/CHN/2018
MK357114	EVA71/JN130/CHN/2018
MK639212	0281.EA71.YN.VP2.11.2018
MK652139	USA/2018-23092
MK697678	Sydney60
MK697679	Sydney57
MK697680	Sydney56
MK697685	Sydney30
MK697686	Sydney20
MK697687	Sydney18
MK697690	Sydney14
MK697691	Sydney11
MK697692	Sydney09
MK697693	Sydney05
MK697694	Sydney03
MK791153	K17245
MK796590	72/ZJ/CHN/2016
MK796591	108/ZJ/CHN/2016
MK796592	140/ZJ/CHN/2016
MK796593	146/ZJ/CHN/2016
MK796594	198/ZJ/CHN/2016
MK796595	41/ZJ/CHN/2016
MK800119	AFM-07
MK836112	USA/CO/2018-23127
MK836113	USA/CO/2018-23128
MK836115	USA/CO/2018-23130
MK836116	USA/CO/2018-23131
MK836117	USA/CO/2018-23132
MK836120	USA/CO/2018-23135
MK836123	USA/CO/2018-23138
MK836127	USA/CO/2018-23142
MK836130	USA/CO/2018-23145
MK836131	USA/CO/2018-23146
MK836135	USA/CO/2018-23150
MK836136	USA/CO/2018-23151
MK836138	USA/CO/2018-23153
MK836139	USA/CO/2018-23155
MK836141	USA/CO/2018-23156
MK836142	USA/CO/2018-23157
MK836143	USA/CO/2018-23158
MK836146	USA/CO/2018-23161
MK836147	USA/CO/2018-23162
MK836154	USA/CO/2018-23169
MK836156	USA/CO/2018-23171
MK836157	USA/CO/2018-23172
MK836159	USA/CO/2018-23174
MK836161	USA/CO/2018-23176
MK836163	USA/CO/2018-23178
MK836164	USA/CO/2018-23179
MK836165	USA/CO/2018-23124
MK836170	USA/CO/2018-23184
MK836173	USA/CO/2018-23187
MK836175	USA/CO/2018-23189
MK836177	USA/CO/2018-23191
MK836179	USA/CO/2018-23193
MK836180	USA/CO/2018-23194
MK836181	USA/CO/2018-23195
MK838975	0487_WZH_GX_CHN_2017
MK838976	0029_WZH_GX_CHN_2017
MK838977	0042_WZH_GX_CHN_2017
MK838978	0043_WZH_GX_CHN_2017
MK838979	0045_WZH_GX_CHN_2017
MK838980	0057_WZH_GX_CHN_2017
MK838981	0066_WZH_GX_CHN_2017
MK838982	0067_WZH_GX_CHN_2017
MK838983	0070_WZH_GX_CHN_2017
MK838984	0072_WZH_GX_CHN_2017
MK838985	0073_WZH_GX_CHN_2017
MK838986	0075_WZH_GX_CHN_2017
MK838987	0076_WZH_GX_CHN_2017
MK838988	0091_WZH_GX_CHN_2017
MK838989	0092_WZH_GX_CHN_2017
MK838990	0093_WZH_GX_CHN_2017
MK838991	0094_WZH_GX_CHN_2017
MK838992	0114_WZH_GX_CHN_2017
MK838993	0115_WZH_GX_CHN_2017
MK838994	0117_WZH_GX_CHN_2017
MK838995	0124_WZH_GX_CHN_2017
MK838996	0126_WZH_GX_CHN_2017
MK838997	0128_WZH_GX_CHN_2017
MK838998	0262_WZH_GX_CHN_2017
MK838999	0263_WZH_GX_CHN_2017
MK839000	0267_WZH_GX_CHN_2017
MK839001	0268_WZH_GX_CHN_2017
MK839002	0273_WZH_GX_CHN_2017
MK839003	0279_WZH_GX_CHN_2017
MK839004	0283_WZH_GX_CHN_2017
MK839005	0284_WZH_GX_CHN_2017
MK839006	0699_WZH_GX_CHN_2017
MK839007	0700_WZH_GX_CHN_2017
MK839008	0701_WZH_GX_CHN_2017
MK839009	0702_WZH_GX_CHN_2017
MK839010	0716_WZH_GX_CHN_2017
MK839011	0714_WZH_GX_CHN_2017
MK839012	0717_WZH_GX_CHN_2017
MK839013	0729_WZH_GX_CHN_2017
MK839014	0480_WZH_GX_CHN_2017
MK839015	0482_WZH_GX_CHN_2017
MK839016	0483_WZH_GX_CHN_2017
MK839017	0485_WZH_GX_CHN_2017
MK839018	0486_WZH_GX_CHN_2017
MK894421	QLD/AUS/2013/FSS856
MK894422	QLD/AUS/2015/FSS857
MK894423	QLD/AUS/2013/FSS858
MK894425	QLD/AUS/2013/FSS868
MK894426	QLD/AUS/2013/FSS869
MK894427	QLD/AUS/2013/FSS870
MK894428	QLD/AUS/2015/FSS871
MK904809	87-2008 Xi'an Shaanxi
MK977636	NPEV15-02-026
MK977637	NPEV15-02-101
MK977638	NPEV15-03-035
MK977639	NPEV15-03-069
MK977640	NPEV15-03-093
MN053430	SB6-1048-2
MN053431	6-1500-4
MN053432	SB6-760-3
MN053433	SB6-1004-3
MN053434	6-684-4
MN053435	SB6-297-2
MN119287	E1/ZS/CHN/2009
MN254979	G08
MN397830	17672/BB/DE/2018
MN397831	17673/BB/DE/2018
MN397832	23551/BY/DE/2011
MN397833	24683/BW/DE/2012
MN397834	24741/MV/DE/2013
MN397835	32213/BY/DE/2011
MN397836	32216/BY/DE/2011
MN397837	32319/MV/DE/2013
MN397838	32320/MV/DE/2013
MN397839	34112/NW/DE/2017
MN397840	34846/BW/DE/2011
MN397841	34847/BW/DE/2011
MN397842	36164/MV/DE/2013
MN397843	36806/BY/DE/2012
MN397844	37048/BY/DE/2012
MN397845	37293/MV/DE/2013
MN397846	37294/MV/DE/2013
MN397847	38181/MV/DE/2013
MN397848	38184/MV/DE/2013
MN397849	38869/MV/DE/2013
MN397850	38870/MV/DE/2013
MN397851	38948/MV/DE/2018
MN397852	40669/MV/DE/2013
MN397853	42268/HE/DE/2018
MN397854	44158/BB/DE/2018
MN397855	46617/BB/DE/2018
MN397856	48351/SH/DE/2018
MN397857	49551/NW/DE/2018
MN397858	49752/BW/DE/2019
MN397859	50049/BE/DE/2018
MN397860	50308/HH/DE/2018
MN397861	50676/SH/DE/2018
MN397862	51101/NW/DE/2018
MN397863	51102/NW/DE/2018
MN397864	51105/NW/DE/2018
MN397865	51650/DE/2018
MN397866	51661/BE/DE/2018
MN397867	51662/BE/DE/2018
MN397868	51666/BE/DE/2018
MN397869	51676/BE/DE/2018
MN397870	51764/RP/DE/2019
MN397871	51781/HH/DE/2018
MN397872	51792/HH/DE/2018
MN397873	51984/SN/DE/2018
MN397874	52021/BB/DE/2018
MN397875	52051/BE/DE/2018
MN397876	52059/BE/DE/2018
MN397877	52106/HH/DE/2018
MN397878	52122/HH/DE/2018
MN397879	52178/NW/DE/2018
MN397880	52255/BB/DE/2018
MN397881	52256/BB/DE/2018
MN397882	52755/BB/DE/2018
MN397883	52758/BB/DE/2018
MN397884	53289/BW/DE/2019
MN397885	53292/BW/DE/2019
MN397886	53301/BW/DE/2019
MN397887	53370/NW/DE/2019
MN397888	53527/SN/DE/2019
MN397889	53535/SN/DE/2019
MN397890	53870/NW/DE/2019
MN397891	53905/BB/DE/2019
MN397892	53983/RP/DE/2019
MN397893	54052/SN/DE/2019
MN397894	54101/BE/DE/2019
MN397895	54294/BW/DE/2019
MN397896	990037/NI/DE/2019
MN397897	990042/NI/DE/2019
MN397898	990055/HB/DE/2019
MN397899	990064/NI/DE/2019
MN397900	990068/HB/DE/2019
MN397901	990091/NI/DE/2019
MN397902	990113/NI/DE/2019
MN397903	990130/NI/DE/2019
MN397904	990211/NI/DE/2019
MN397905	990616/NI/DE/2018
MN397906	990689/NI/DE/2018
MN515037	16L
MN540972	EV-A71/SWG4/SD/CHN/2018
MN541015	EV-A71/SWG47/SD/CHN/2018
MN629889	CMC718
MN699168	CMH-S115-17
MN747117	wh064-CHN-2010
MN747118	wh170-CHN-2012
MN749160	10S3
MN749161	10S5
MN938504	1001F1EVA71
MN938505	1001G1EVA71
MN938506	1001Y1EVA71
MN938507	1217F1EVA71
MN938508	1217G1EVA71
MN938509	1217Y2EVA71
MN938510	1356F1EVA71
MN938511	1356G1EVA71
MN938512	1356Y1EVA71
MN938513	1369F1EVA71
MN938514	1369G1EVA71
MN938515	1369Y1EVA71
MN938516	1372F1EVA71
MN938517	1372G1EVA71
MN938518	1372Y1EVA71
MN938519	1505F1EVA71
MN938520	1505G1EVA71
MN938521	1505Y1EVA71
MN938522	2257F1EVA71
MN938523	2257G1EVA71
MN938524	2257Y1EVA71
MN938525	2337G1EVA71
MN938526	3105F1EVA71
MN938527	3105G1EVA71
MN938528	3105Y1EVA71
MN938529	3142G1EVA71
MN938530	3142Y1EVA71
MN938531	3190F1EVA71
MN938532	3190G1EVA71
MN938533	3190Y1EVA71
MN938534	3200F1EVA71
MN938535	3234F1EVA71
MN938536	3234G1EVA71
MN938537	3234Y1EVA71
MN938538	3237F1EVA71
MN938539	3237G1EVA71
MN938540	4001F1EVA71
MN938541	4001G1EVA71
MN938542	4001Y1EVA71
MN938543	4023F1EVA71
MN938544	4023G1EVA71
MN938545	4023Y1EVA71
MN938546	7023F1EVA71
MN938547	7023G1EVA71
MN938548	7023Y1EVA71
MN938549	7078F1EVA71
MN938550	7078G1EVA71
MN938551	7078Y1EVA71
MN938552	7126F1EVA71
MN938553	7126G1EVA71
MN938554	7126Y1EVA71
MN938555	7265G1EVA71
MN938556	7265Y1EVA71
MN938557	7352F1EVA71
MN938558	7352G1EVA71
MN938559	7352Y1EVA71
MN938560	7393G1EVA71
MN938561	7393Y1EVA71
MN938562	7457F1EVA71
MN938563	7457G1EVA71
MN938564	7548F1EVA71
MN938565	7548G1EVA71
MN938566	7548Y1EVA71
MN938567	7622F1EVA71
MN938568	7622G1EVA71
MN938569	7622Y1EVA71
MN938570	7667F1EVA71
MN938571	7667G1EVA71
MN938572	7707F1EVA71
MN938573	7707Y1EVA71
MN938574	7721G1EVA71
MN938575	7899G1EVA71
MN938576	7899Y2EVA71
MN938577	7911F1EVA71
MN938578	7911G1EVA71
MN938579	7911Y1EVA71
MN938580	7998F1EVA71
MN938581	7998G1EVA71
MN938582	8027F1EVA71
MN938583	8027G1EVA71
MN938584	8027Y1EVA71
MN938585	8045F1EVA71
MN938586	8045G1EVA71
MN938587	8045Y1EVA71
MN938824	2257Y1EVA71
MN938825	7078Y1EVA71
MN938826	7911Y1EVA71
MN938827	8027Y1EVA71
MN966512	A106/YN/CHN/2016
MN966513	G63/YN/CHN/2016
MN966514	R59/YN/CHN/2016
MN966515	R66/YN/CHN/2016
MN966516	R118/YN/CHN/2016
MN966517	413-C1/YN/CHN/2016
MN966518	413-C2/YN/CHN/2016
MT081373	USA/2018-23296
MT081374	USA/2018-23297
MT081375	USA/2018-23298
MT188611	97/ST
MT212038	E1/ZS/CHZ/2009
MT241233	TLLalpha
MT241234	TLLalpha-P20
MT241235	TLLbeta
MT241236	TLLbeta-P20
MT241237	eTLLbeta-P20
MT241238	TLLeC5
MT241239	TLLeCA16
MT258826	15/YN/2007AFP/
MT258827	31/YN/2007AFP/
MT258828	64/YN/2008AFP/
MT258829	86/YN/2008AFP/
MT258830	206/YN/2008AFP/
MT258831	166/YN/2010AFP/
MT258832	176/YN/2010AFP/
MT258833	183/YN/2010AFP/
MT258834	23/YN/2011AFP/
MT258835	163/YN/2011AFP/
MT258836	171/YN/2011AFP/
MT258837	220/YN/2011AFP/
MT258838	8/YN/2012AFP/
MT258839	114/YN/2012AFP/
MT258840	136/YN/2012AFP/
MT258841	251/YN/2012AFP/
MT258842	20/YN/2013AFP/
MT258843	67/YN/2013AFP/
MT258844	70/YN/2013AFP/
MT258845	78/YN/2013AFP/
MT258846	90/YN/2013AFP/
MT258847	118/YN/2013AFP/
MT258848	118/YN/2014AFP/
MT258849	125/YN/2014AFP/
MT258850	83/YN/2014AFP/
MT258851	131/YN/2014AFP/
MT258852	137/YN/2014AFP/
MT258853	169/YN/2014AFP/
MT258854	231/YN/2014AFP/
MT258855	242/YN/2014AFP/
MT258856	251/YN/2014AFP/
MT258857	32/YN/2015AFP/
MT258858	55/YN/2015AFP/
MT258859	62/YN/2015AFP/
MT258860	89/YN/2015AFP/
MT258861	97/YN/2015AFP/
MT258862	239/YN/2015AFP/
MT258863	114/YN/2015AFP/
MT258864	174/YN/2016AFP/
MT258865	60/YN/2017AFP/
MT258866	96/YN/2017AFP/
MT258867	137/YN/2017AFP/
MT258868	150/YN/2017AFP/
MT258869	18/YN/2018AFP/
MT258870	164/YN/2018AFP/
MT258871	169/YN/2018AFP/
MT348284	No.F23
MT348285	No.F22
MT348286	No.F21
MT348287	No.F20
MT348288	No.F19
MT348289	No.F18
MT348290	No.F17
MT348291	No.F16
MT348292	No.F15
MT348293	No.F14
MT348294	No.F13
MT348295	No.F12
MT348296	No.F11
MT348297	No.F10
MT348298	No.F9
MT348299	No.F8
MT348300	No.F7
MT348301	No.F6
MT348302	No.F5
MT348303	No.F4
MT348304	No.F3
MT348305	No.F2
MT348306	No.F1
MT348307	No.40
MT348308	No.39
MT348309	No.38
MT348310	No.37
MT348311	No.36
MT348312	No.35
MT348313	No.34
MT348314	No.33
MT348315	No.32
MT348316	No.31
MT348317	No.30
MT348318	No.29
MT348319	No.28
MT348320	No.27
MT348321	No.26
MT348322	No.25
MT348323	No.24
MT348324	No.23
MT348325	No.22
MT348326	No.21
MT348327	No.20
MT348328	No.19
MT348329	No.18
MT348330	No.17
MT348331	No.16
MT348332	No.15
MT348333	No.14
MT348334	No.13
MT348335	No.12
MT348336	No.11
MT348337	No.10
MT348338	No.9
MT348339	No.8
MT348340	No.7
MT348341	No.6
MT348342	No.5
MT348343	No.4
MT348344	No.3
MT348345	No.2
MT348346	No.1
MT350135	JX2009-8-EV71
MT350136	JX2009-14-1-EV71
MT350137	JX2009-28-2-EV71
MT350138	JX2009-37-1-EV71
MT350139	JX2010-3-EV71
MT350140	JX2010-192-EV71
MT350141	JX2010-335-EV71
MT350142	JX2010-1492-EV71
MT350143	JX2011-99-EV71
MT350144	JX2011-1586-EV71
MT350145	JX2011-2364-EV71
MT350146	JX2012-33-EV71
MT350147	JX2012-87-EV71
MT350148	JX2012-704-EV71
MT350149	JX2012-2920-EV71
MT350150	JX2013-237-EV71
MT350151	JX2013-1510-EV71
MT350152	JX2013-3145-EV71
MT350153	JX2013-3199-EV71
MT350154	JX2014-15-EV71
MT350155	JX2014-96-EV71
MT350156	JX2014-397-EV71
MT350157	JX2014-905-EV71
MT350158	JX2015-616-EV71
MT350159	JX2015-2475-EV71
MT350160	JX2015-3041-EV71
MT350161	JX2016-32-EV71
MT350162	JX2016-536-EV71
MT350163	JX2016-1432-EV71
